time[s],Rel. Drehwinkel - drive1.phiRel [rad],Rel. Winkelgeschwindigkeit - drive1.omRel [rad/s],Rel. Winkelbeschleunigung - drive1.alpRel [rad/s²]
s,rad,rad/s,rad/s²
0,-0.9734143607,0,0
0.000105368073093342,-0.973414406055339,-0.00133496171443862,-26.2525570118673
0.000210267911470252,-0.973414736598174,-0.0053973666210831,-50.6570049836022
0.000313454191484944,-0.973415601609096,-0.0117372441880422,-71.779046306608
0.000444586755670281,-0.973417827351879,-0.0227217070256608,-95.1542116410574
0.000552072464018919,-0.973420852451105,-0.0338643177239777,-111.836959658069
0.00070322424138419,-0.973427329247183,-0.0523428818535805,-132.090552318471
0.000805494049354659,-0.973433385109726,-0.0661941003443844,-138.661560997708
0.000909736366846621,-0.973441044016284,-0.0803920671550848,-121.145455775937
0.00101448959860279,-0.973450048367206,-0.0908258919947214,-79.0231294440004
0.00114894660418683,-0.97346282798579,-0.0982485400255593,-32.6595113734261
0.0012594305265404,-0.973473813816681,-0.100003715407526,0.152500124795862
0.00137860240997091,-0.973485649707262,-0.0979329666072041,34.6376373325693
0.00147927315558643,-0.973495286369874,-0.0930699491505617,61.3278462422923
0.00158151688160219,-0.973504438418919,-0.0855437198518797,85.4330161619214
0.00168288481334843,-0.973512639757304,-0.0762595961584534,82.4141701749446
0.00178611307621542,-0.97352014892145,-0.0699413052431895,41.1196100018967
0.00189707049712669,-0.973527739130989,-0.0674963719305482,5.05818984034934
0.00200390736921049,-0.973534977863609,-0.0685142153277671,-23.4858527370843
0.00213920041167604,-0.973544560676423,-0.0738638912302668,-54.7513811589287
0.0022549827785825,-0.973553532604859,-0.0815672533848742,-77.6706431917106
0.00237021585129695,-0.973563492978007,-0.0916893522081195,-97.5382561067376
0.00250750525433564,-0.97357706651754,-0.106522987809301,-118.013431176161
0.00262003755190834,-0.973589832010806,-0.120641192782118,-132.580716452994
0.00272069191243512,-0.973602666247983,-0.134537100801924,-137.931311034917
0.00282548499946818,-0.973617439851411,-0.14665574185972,-94.2337054255955
0.00292872557845398,-0.97363301211637,-0.154394569989051,-56.561351785829
0.00305093418050039,-0.973652199307151,-0.158883546283994,-17.7889660145792
0.00316543585328035,-0.973670433289367,-0.158933788399747,17.180544537776
0.00327253942746649,-0.973687311195103,-0.15621485714231,17.5019901453735
0.00337749116804689,-0.973703658005751,-0.15574038051426,-9.19363147093077
0.0034921994148709,-0.97372164862364,-0.15848508663033,-37.9532381361475
0.0036020421286815,-0.973739338168066,-0.164002467757902,-61.9805140053462
0.00373889993412008,-0.973762447933,-0.174307706333779,-87.9412398430252
0.00385922389548213,-0.973784105529586,-0.186071480793986,-107.208662664911
0.00395949128738076,-0.973803310213296,-0.196719078870928,-91.8990592556079
0.00406806838935391,-0.973825130205365,-0.204487922979545,-52.1697608165619
0.00419019140137177,-0.973850390258279,-0.20842909147883,-13.3719851294589
0.00429095747682365,-0.973871413418504,-0.208499346397095,1.70196023826243
0.0043916800762696,-0.973892454306947,-0.209761424148706,-25.9461844997277
0.00449350010492319,-0.973913990441179,-0.213663046090439,-50.0181305112415
0.00461365428405013,-0.973940087190695,-0.221179402792241,-74.5219897129056
0.0047138873372583,-0.973962661844408,-0.229558310956074,-91.5808970069979
0.00481581889898591,-0.973986516499302,-0.237966755043817,-65.006037087632
0.004916193385099,-0.974010670820414,-0.242747625692733,-30.9662818101427
0.00502024150915095,-0.974036039075697,-0.244499375011238,-12.5790084110576
0.00512339877281419,-0.97406137459365,-0.247163656645955,-38.7977350307307
0.00523351927674198,-0.974088878653203,-0.252808416180404,-63.1519628089773
0.00534259563569805,-0.974116874140015,-0.260861841492956,-83.9429341602798
0.00544501058637312,-0.974144000148236,-0.268283126723286,-54.593833142931
0.00554876709693741,-0.97417206783019,-0.272166375919671,-21.0229707672072
0.00564883468782994,-0.974199396492583,-0.274299089487051,-32.1354543436884
0.00574927610942371,-0.974227150361634,-0.27872354713502,-55.3206425234515
0.00584991820345796,-0.974255517137549,-0.285324851666256,-74.5833709240561
0.00595910265140634,-0.974287097259708,-0.292596379578916,-49.0345538950775
0.00606237575796952,-0.974317516255861,-0.29605444667105,-28.2889573386599
0.00616589194778982,-0.974348359411359,-0.300279156362447,-52.8123427286535
0.00626705737904348,-0.974379045213444,-0.306677906481036,-69.9633740157655
0.0063761202052588,-0.974412837342606,-0.312320385627448,-33.4125003442893
0.00648121467403281,-0.974445836924444,-0.315966008653573,-45.5055880630027
0.00658125319404064,-0.974477711842493,-0.32162387773208,-66.6741635894443
0.00668757913626788,-0.974512244499678,-0.327329590998492,-36.0333012774662
0.00679367326373597,-0.974547190085978,-0.331825867495217,-53.9427703531125
0.00690280562710059,-0.974583746900664,-0.33786419297339,-42.1542548165206
0.00700306342909513,-0.974617824688682,-0.342193670274281,-53.2199786030325
0.00710340523274249,-0.974652443721008,-0.347558445904686,-40.7317887294792
0.00720376030773146,-0.97468754745143,-0.352370996297082,-55.8896114285916
0.00730422002273091,-0.974723191752307,-0.35722728165933,-53.6580758581025
0.00740432686350564,-0.974759203251475,-0.362164367087914,-51.8660189726413
0.00750634233409164,-0.974796404910701,-0.367170161516235,-48.4082139624874
