FrozenResults.time3[s],Beschleunigung - x - FrozenResults.ax2 [m/s²],Beschleunigung - y - FrozenResults.ay2 [m/s²],Beschleunigung - x - Soll - FrozenResults.aFix3 [m/s²],Beschleunigung - y - Soll - FrozenResults.aFix4 [m/s²]
s,m/s²,m/s²,m/s²,m/s²
0,0,0,-0.000869710018793174,-0.000628005912595232
0.000105368073093342,2.22955896935921,-4.97946134219723,-0.000869714723742258,-0.000627999059343343
0.000210267911470252,4.29450076567806,-9.61513838935926,-0.000869719407730719,-0.000627992236509989
0.000313454191484944,5.95099221127811,-13.7425906551336,-0.000869724015153991,-0.000627985525093889
0.000444586755670281,7.62891542447882,-18.4472484850881,-0.000869729870347557,-0.000627976995952516
0.000552072464018919,8.71357077587163,-21.9044698584941,-0.000869734669625187,-0.000627970004811227
0.00070322424138419,9.88192651190062,-26.2325934422484,-0.000869741418515828,-0.000627960173455075
0.000805494049354659,15.5783182850225,-22.9473062078296,-0.000869745984776245,-0.000627953521483738
0.000909736366846621,16.7957588388462,-17.2392122289197,-0.000869750639056042,-0.000627946741178682
0.00101448959860279,12.064561102985,-10.2671898312905,-0.000869755316095099,-0.000627939927606196
0.00114894660418683,7.29375192277116,-2.20800274089398,-0.000869761319276056,-0.000627931181928097
0.0012594305265404,4.19749557744764,3.74254207291744,-0.000869766252051932,-0.000627923995521216
0.00137860240997091,0.640995607095706,9.72979583120789,-0.000869771572653744,-0.000627916243962865
0.00147927315558643,-2.09596733222297,14.3774496538475,-0.000869776067192439,-0.000627909695778557
0.00158151688160219,-4.43677330074674,18.6905173865739,6.87517261443839,-6.86225149272913
0.00168288481334843,-1.44636263346725,20.529027364415,6.87550754533325,-6.87212260334448
0.00178611307621542,2.62548337992358,13.1946277892897,6.87568005894653,-6.87944181433541
0.00189707049712669,5.48436741885216,6.17505835739531,6.87568360244442,-6.88421730079716
0.00200390736921049,7.18473662395852,0.122691348871764,6.87551364609069,-6.88577854394078
0.00213920041167604,8.75134090708669,-6.7676196169425,6.87505648900095,-6.88347586276221
0.0022549827785825,9.85826728230509,-11.8550949931656,6.8744477124297,-6.87771364598995
0.00237021585129695,10.928298591971,-16.1676808451547,6.87363543927624,-6.86852207220437
0.00250750525433564,11.8852507759764,-20.7406381867979,6.87542362229544,-6.85291854995248
