time[s],Motormoment - Servo_Phi1.Ti [Nm],Motormoment - Servo_Phi2.Ti [Nm]
s,Nm,Nm
0,0,0
0.000105368073093342,-0.727326121501762,0.16618751281849
0.000210267911470252,-1.37048650449944,0.318990191769042
0.000313454191484944,-1.92898741911807,0.458469714905679
0.000444586755670281,-2.54642250937183,0.621316074089338
0.000552072464018919,-2.98537280716902,0.743661566522351
0.00070322424138419,-3.5150178160494,0.900203083940606
0.000805494049354659,-3.84988788235142,0.657159765512881
0.000909736366846621,-3.37056370628511,0.42586235016648
0.00101448959860279,-2.24840973954686,0.23498818983197
0.00114894660418683,-1.00143945474455,0.00975845155088107
0.0012594305265404,-0.117099231514624,-0.159671920631748
0.00137860240997091,0.696506201686152,-0.325970124755622
0.00147927315558643,1.29058503757139,-0.455109271341838
0.00158151688160219,1.82566086703008,-0.576885106893707
0.00168288481334843,1.68134339350753,-0.660437692510054
0.00178611307621542,0.79637862630637,-0.455323239321732
0.00189707049712669,-0.0506933227433957,-0.249831780964853
0.00200390736921049,-0.78493055763561,-0.0661374809711147
0.00213920041167604,-1.58921697233572,0.146622069341154
0.0022549827785825,-2.18215387585929,0.31397861163888
0.00237021585129695,-2.69794805585382,0.470587943958747
0.00250750525433564,-3.22688976681362,0.640527596157749
0.00262003755190834,-3.60043203420463,0.767523538199871
0.00272069191243512,-3.64395600798172,0.836804912309043
0.00282548499946818,-2.48782048763159,0.611075639102756
0.00292872557845398,-1.48269175438153,0.404515233167845
0.00305093418050039,-0.442696533290349,0.178778945360342
0.00316543585328035,0.38689523590176,-0.0128725551133432
0.00327253942746649,0.291044139620349,-0.191522326789138
0.00337749116804689,-0.494132157495832,-0.245345274679226
0.0034921994148709,-1.22243363840399,-0.0484255207760068
0.0036020421286815,-1.8318294218538,0.124940687804647
0.00373889993412008,-2.48726957750791,0.321931480517076
0.00385922389548213,-2.98381590257749,0.484562646415733
0.00395949128738076,-2.50490353876487,0.394478467782785
0.00406806838935391,-1.44834465281812,0.195334089984547
0.00419019140137177,-0.415478824116566,-0.00782516972794618
0.00429095747682365,-0.121504618486279,-0.123621041415909
0.0043916800762696,-0.811051873683701,0.0401524790984536
0.00449350010492319,-1.42643896441632,0.19452797409563
0.00461365428405013,-2.06391582698242,0.367052974066267
0.0047138873372583,-2.53082319649634,0.457828958413581
0.00481581889898591,-1.7764980023043,0.255203373495391
0.004916193385099,-0.878000090248938,0.0821512839481284
0.00502024150915095,-0.539601275672331,-0.0888969489444604
0.00512339877281419,-1.20418549433381,0.0386396181759371
0.00523351927674198,-1.8179778103094,0.205171129313212
0.00534259563569805,-2.35203134673771,0.360187454770621
0.00544501058637312,-1.46294372578521,0.26947211950432
0.00554876709693741,-0.57180392841546,0.0870861270349599
0.00564883468782994,-0.988209948417293,0.0703516320895814
0.00574927610942371,-1.57640056495286,0.22099593852502
0.00584991820345796,-2.10112774086979,0.315730704471663
0.00595910265140634,-1.38742767062131,0.113687330851432
0.00606237575796952,-0.920229124624983,0.0188877283326758
0.00616589194778982,-1.53341182425733,0.176971301936297
